Visit_Type,Millions,Year
Visitor_Numbers,8.945,2009
Visitor_Numbers,8.673,2010
Visitor_Numbers,9.113,2011
Visitor_Numbers,8.836,2012
Visitor_Numbers,8.75,2013
Visitor_Numbers,8.905,2014
Visitor_Numbers,9.065,2015
Visitor_Numbers,9.065,2016
Visitor_Numbers,9.824,2017
Visitor_Numbers,9.912,2018
Visitor_Days,11.87,2009
Visitor_Days,11.73,2010
Visitor_Days,12.22,2011
Visitor_Days,11.87,2012
Visitor_Days,11.75,2013
Visitor_Days,12.07,2014
Visitor_Days,12.24,2015
Visitor_Days,12.32,2016
Visitor_Days,13.25,2017
Visitor_Days,13.43,2018
