Month,Type,Count
Jan,Serviced Accomodation,6002
Feb,Serviced Accomodation,6002
Mar,Serviced Accomodation,6088
Apr,Serviced Accomodation,6088
May,Serviced Accomodation,6088
Jun,Serviced Accomodation,6088
Jul,Serviced Accomodation,6088
Aug,Serviced Accomodation,6088
Sep,Serviced Accomodation,6088
Oct,Serviced Accomodation,6088
Nov,Serviced Accomodation,6055
Dec,Serviced Accomodation,6032
Jan,Non-Serviced Accomodation,12962
Feb,Non-Serviced Accomodation,13600
Mar,Non-Serviced Accomodation,18985
Apr,Non-Serviced Accomodation,21910
May,Non-Serviced Accomodation,22058
Jun,Non-Serviced Accomodation,22058
Jul,Non-Serviced Accomodation,22058
Aug,Non-Serviced Accomodation,21947
Sep,Non-Serviced Accomodation,22029
Oct,Non-Serviced Accomodation,21301
Nov,Non-Serviced Accomodation,15407
Dec,Non-Serviced Accomodation,13814
