SECTOR / YEAR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Accommodation,£76,£80,£78,£78,£79,£81,£78,£77,£82,£88
Food & Drink,£94,£92,£93,£91,£90,£93,£94,£94,£100,£55
Recreation,£37,£36,£37,£36,£35,£36,£37,£37,£40,£55
Shopping,£116,£112,£115,£111,£110,£113,£115,£116,£125,£55
Transport,£51,£50,£50,£49,£49,£50,£50,£51,£54,£55
Direct Revenue,£373,£370,£373,£365,£364,£373,£374,£374,£400,£55
VAT,£56,£65,£75,£73,£73,£75,£75,£75,£80,£55
Direct Expenditure,£429,£434,£447,£438,£437,£448,£448,£449,£481,£55
Indirect Expenditure,£146,£147,£151,£148,£147,£151,£151,£152,£163,£55
TOTAL,£575,£581,£599,£585,£584,£599,£600,£602,£644,£55
